Geneid,cell_01,cell_02,cell_03,cell_04,cell_05,cell_06,cell_07,cell_08
GENE_001_GAPDH_like,108,112,83,114,131,127,86,124
GENE_002_ACTB_like,47,80,58,47,22,9,30,14
GENE_003_TP53_like,15,10,4,10,61,30,49,50
GENE_004_CD4_like,19,16,5,17,19,13,19,22
GENE_005_CD8A_like,23,28,30,21,37,46,59,36
GENE_006_MS4A1_like,66,37,58,51,15,22,15,12
GENE_007_GNLY_like,34,31,25,7,18,30,28,26
GENE_008_NKG7_like,22,13,3,14,15,25,18,5
GENE_009_IL7R_like,14,28,49,32,32,12,31,28
GENE_010_MT-ND1_like,33,27,37,43,20,31,25,41
GENE_011_MT-CO1_like,15,4,22,25,19,35,17,30
GENE_012_MALAT1_like,0,0,0,0,0,0,0,0
GENE_013_SOX2_like,0,0,0,0,0,0,0,0
GENE_014_OCT4_like,0,0,0,0,0,0,0,0
GENE_015_NANOG_like,0,0,0,0,0,0,0,0
