cluster,rank,gene,score,logfoldchange,pvals_adj
0,1,GENE_005_CD8A_like,2.309401,,0.057533672178933536
0,2,GENE_003_TP53_like,2.309401,,0.057533672178933536
0,3,GENE_004_CD4_like,1.4433757,,0.2730102341610705
0,4,GENE_001_GAPDH_like,1.4433757,,0.2730102341610705
0,5,GENE_011_MT-CO1_like,1.1547005,,0.34129298361114496
0,6,GENE_008_NKG7_like,0.8660254,,0.425123853848356
0,7,GENE_007_GNLY_like,-0.28867513,,0.7728299926844475
0,8,GENE_009_IL7R_like,-0.8660254,,0.425123853848356
0,9,GENE_010_MT-ND1_like,-1.1547005,,0.34129298361114496
0,10,GENE_006_MS4A1_like,-2.309401,,0.057533672178933536
1,1,GENE_006_MS4A1_like,2.309401,,0.057533672178933536
1,2,GENE_002_ACTB_like,2.309401,,0.057533672178933536
1,3,GENE_010_MT-ND1_like,1.1547005,,0.34129298361114496
1,4,GENE_009_IL7R_like,0.8660254,,0.425123853848356
1,5,GENE_007_GNLY_like,0.28867513,,0.7728299926844475
1,6,GENE_008_NKG7_like,-0.8660254,,0.425123853848356
1,7,GENE_011_MT-CO1_like,-1.1547005,,0.34129298361114496
1,8,GENE_001_GAPDH_like,-1.4433757,,0.2730102341610705
1,9,GENE_004_CD4_like,-1.4433757,,0.2730102341610705
1,10,GENE_005_CD8A_like,-2.309401,,0.057533672178933536
