.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
scRNA_sample_01_R1	1	1	1	1	0.25	1	1	1	1	1	1
scRNA_sample_01_R2	1	0.25	1	0.5	0.25	0.25	1	0.5	0.25	0.25	0.5
scRNA_sample_01_val_R1	1	1	1	1	0.25	1	1	1	1	1	1
scRNA_sample_01_val_R2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
cell_01_R1	1	1	None	1	1	1	1	1	1	0.5	1
cell_01_R2	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_01_val_R1	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_01_val_R2	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_02_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_02_R2	1	1	None	1	1	0.25	1	1	1	0.5	1
cell_02_val_R1	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_02_val_R2	1	1	None	1	1	0.25	1	0.5	1	0.5	1
cell_03_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_03_R2	1	1	None	1	1	0.25	1	1	1	0.5	1
cell_03_val_R1	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_03_val_R2	1	1	None	1	1	0.25	1	0.5	1	0.5	1
cell_04_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_04_R2	1	1	None	1	1	0.25	1	1	1	0.5	1
cell_04_val_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_04_val_R2	1	1	None	1	1	0.25	1	0.5	1	0.5	1
cell_05_R1	1	1	None	1	1	1	1	1	1	0.5	1
cell_05_R2	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_05_val_R1	1	1	None	1	1	1	1	0.5	1	0.5	1
cell_05_val_R2	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_06_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_06_R2	1	1	None	1	0.5	0.5	1	1	1	0.5	1
cell_06_val_R1	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_06_val_R2	1	1	None	1	0.5	0.5	1	0.5	1	0.5	1
cell_07_R1	1	1	None	1	1	1	1	1	1	0.5	1
cell_07_R2	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_07_val_R1	1	1	None	1	1	1	1	1	1	0.5	1
cell_07_val_R2	1	1	None	1	1	0.5	1	0.5	1	0.5	1
cell_08_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_08_R2	1	1	None	1	1	0.25	1	1	1	0.5	1
cell_08_val_R1	1	1	None	1	1	0.5	1	1	1	0.5	1
cell_08_val_R2	1	1	None	1	1	0.25	1	0.5	1	0.5	1
