Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
cell_01_R1	0.6	99.4
cell_01_R2	0.8	99.2
cell_01_val_R1	0.6	99.4
cell_01_val_R2	0.8	99.2
cell_02_R1	0.4	99.6
cell_02_R2	0.6	99.4
cell_02_val_R1	0.4	99.6
cell_02_val_R2	0.6	99.4
cell_03_R1	0.4	99.6
cell_03_R2	0.4	99.6
cell_03_val_R1	0.4	99.6
cell_03_val_R2	0.4	99.6
cell_04_R1	0.4	99.6
cell_04_R2	0.6	99.4
cell_04_val_R1	0.4	99.6
cell_04_val_R2	0.6	99.4
cell_05_R1	0.6	99.4
cell_05_R2	0.4	99.6
cell_05_val_R1	0.6	99.4
cell_05_val_R2	0.4	99.6
cell_06_R1	0.6	99.4
cell_06_R2	0.6	99.4
cell_06_val_R1	0.6	99.4
cell_06_val_R2	0.6	99.4
cell_07_R1	0.4	99.6
cell_07_R2	0.4	99.6
cell_07_val_R1	0.4	99.6
cell_07_val_R2	0.4	99.6
cell_08_R1	0.8	99.2
cell_08_R2	0.6	99.4
cell_08_val_R1	0.8	99.2
cell_08_val_R2	0.6	99.4
scRNA_sample_01_R1	0.0	0.0
scRNA_sample_01_R2	11.17150034254396	88.82849965745604
scRNA_sample_01_val_R1	0.0	0.0
scRNA_sample_01_val_R2	10.752836977580959	89.21025924900822
