Sample	0	1	2	3	4	5	6	7	8	9	10	11	12
cell_01_R1	(31.0, 203.0)	(32.0, 297.0)											
cell_01_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_01_val_R1	(31.0, 202.0)	(32.0, 298.0)											
cell_01_val_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_02_R1	(31.0, 177.0)	(32.0, 323.0)											
cell_02_R2	(31.0, 184.0)	(32.0, 316.0)											
cell_02_val_R1	(31.0, 177.0)	(32.0, 323.0)											
cell_02_val_R2	(31.0, 183.0)	(32.0, 317.0)											
cell_03_R1	(31.0, 186.0)	(32.0, 314.0)											
cell_03_R2	(31.0, 213.0)	(32.0, 287.0)											
cell_03_val_R1	(31.0, 185.0)	(32.0, 315.0)											
cell_03_val_R2	(31.0, 211.0)	(32.0, 289.0)											
cell_04_R1	(31.0, 194.0)	(32.0, 306.0)											
cell_04_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_04_val_R1	(31.0, 194.0)	(32.0, 306.0)											
cell_04_val_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_05_R1	(31.0, 167.0)	(32.0, 333.0)											
cell_05_R2	(31.0, 198.0)	(32.0, 302.0)											
cell_05_val_R1	(31.0, 167.0)	(32.0, 333.0)											
cell_05_val_R2	(31.0, 198.0)	(32.0, 302.0)											
cell_06_R1	(31.0, 196.0)	(32.0, 304.0)											
cell_06_R2	(31.0, 198.0)	(32.0, 302.0)											
cell_06_val_R1	(31.0, 195.0)	(32.0, 305.0)											
cell_06_val_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_07_R1	(31.0, 189.0)	(32.0, 311.0)											
cell_07_R2	(31.0, 197.0)	(32.0, 303.0)											
cell_07_val_R1	(31.0, 189.0)	(32.0, 311.0)											
cell_07_val_R2	(31.0, 195.0)	(32.0, 305.0)											
cell_08_R1	(31.0, 184.0)	(32.0, 316.0)											
cell_08_R2	(31.0, 205.0)	(32.0, 295.0)											
cell_08_val_R1	(31.0, 184.0)	(32.0, 316.0)											
cell_08_val_R2	(31.0, 205.0)	(32.0, 295.0)											
scRNA_sample_01_R1	(29.0, 30.0)	(30.0, 343.0)	(31.0, 775.0)	(32.0, 314.0)	(33.0, 27.0)	(34.0, 2.0)	(35.0, 1927.0)	(36.0, 16795.0)	(37.0, 1682.0)				
scRNA_sample_01_R2	(22.0, 129.0)	(23.0, 932.0)	(24.0, 423.0)	(25.0, 8.0)	(26.0, 1263.0)	(27.0, 15190.0)	(28.0, 3938.0)	(29.0, 12.0)					
scRNA_sample_01_val_R1	(29.0, 29.0)	(30.0, 339.0)	(31.0, 767.0)	(32.0, 311.0)	(33.0, 27.0)	(34.0, 0.0)	(35.0, 1905.0)	(36.0, 16628.0)	(37.0, 1672.0)				
scRNA_sample_01_val_R2	(22.0, 1.0)	(23.0, 76.0)	(24.0, 413.0)	(25.0, 611.0)	(26.0, 493.0)	(27.0, 5921.0)	(28.0, 8642.0)	(29.0, 1531.0)	(30.0, 1054.0)	(31.0, 1502.0)	(32.0, 1134.0)	(33.0, 295.0)	(34.0, 5.0)
