Sample	Unique Reads	Duplicate Reads
cell_01_R1	478.0	22.0
cell_01_R2	485.0	15.0
cell_01_val_R1	478.0	22.0
cell_01_val_R2	485.0	15.0
cell_02_R1	482.0	18.0
cell_02_R2	483.0	17.0
cell_02_val_R1	482.0	18.0
cell_02_val_R2	483.0	17.0
cell_03_R1	479.0	21.0
cell_03_R2	487.0	13.0
cell_03_val_R1	479.0	21.0
cell_03_val_R2	487.0	13.0
cell_04_R1	482.0	18.0
cell_04_R2	477.0	23.0
cell_04_val_R1	482.0	18.0
cell_04_val_R2	477.0	23.0
cell_05_R1	485.0	15.0
cell_05_R2	487.0	13.0
cell_05_val_R1	485.0	15.0
cell_05_val_R2	487.0	13.0
cell_06_R1	476.0	24.0
cell_06_R2	479.0	21.0
cell_06_val_R1	476.0	24.0
cell_06_val_R2	479.0	21.0
cell_07_R1	488.0	12.0
cell_07_R2	483.0	17.0
cell_07_val_R1	488.0	12.0
cell_07_val_R2	483.0	17.0
cell_08_R1	478.0	22.0
cell_08_R2	483.0	17.0
cell_08_val_R1	478.0	22.0
cell_08_val_R2	483.0	17.0
scRNA_sample_01_R1	21895.0	0.0
scRNA_sample_01_R2	20.0	21875.0
scRNA_sample_01_val_R1	21678.0	0.0
scRNA_sample_01_val_R2	29.0	21649.0
