Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
cell_01_R1	(100, 500.0)																									
cell_01_R2	(100, 500.0)																									
cell_01_val_R1	(91, 1.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																
cell_01_val_R2	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																				
cell_02_R1	(100, 500.0)																									
cell_02_R2	(100, 500.0)																									
cell_02_val_R1	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																				
cell_02_val_R2	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																				
cell_03_R1	(100, 500.0)																									
cell_03_R2	(100, 500.0)																									
cell_03_val_R1	(92, 1.0)	(93, 0.0)	(94, 0.0)	(95, 2.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 497.0)																	
cell_03_val_R2	(92, 1.0)	(93, 0.0)	(94, 1.0)	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 497.0)																	
cell_04_R1	(100, 500.0)																									
cell_04_R2	(100, 500.0)																									
cell_04_val_R1	(100, 500.0)																									
cell_04_val_R2	(91, 1.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																
cell_05_R1	(100, 500.0)																									
cell_05_R2	(100, 500.0)																									
cell_05_val_R1	(91, 1.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																
cell_05_val_R2	(91, 1.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																
cell_06_R1	(100, 500.0)																									
cell_06_R2	(100, 500.0)																									
cell_06_val_R1	(92, 3.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 497.0)																	
cell_06_val_R2	(92, 1.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																	
cell_07_R1	(100, 500.0)																									
cell_07_R2	(100, 500.0)																									
cell_07_val_R1	(100, 500.0)																									
cell_07_val_R2	(90, 1.0)	(91, 0.0)	(92, 0.0)	(93, 1.0)	(94, 0.0)	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 497.0)															
cell_08_R1	(100, 500.0)																									
cell_08_R2	(100, 500.0)																									
cell_08_val_R1	(100, 500.0)																									
cell_08_val_R2	(95, 1.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 499.0)																				
scRNA_sample_01_R1	(28, 21895.0)																									
scRNA_sample_01_R2	(80, 987.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 1501.0)	(91, 19407.0)														
scRNA_sample_01_val_R1	(28, 21678.0)																									
scRNA_sample_01_val_R2	(40, 1595.0)	(42, 0.0)	(44, 160.0)	(46, 346.0)	(48, 101.0)	(50, 476.0)	(52, 39.0)	(54, 58.0)	(56, 369.0)	(58, 156.0)	(60, 787.0)	(62, 41.0)	(64, 70.0)	(66, 167.0)	(68, 110.0)	(70, 145.0)	(72, 124.0)	(74, 253.0)	(76, 429.0)	(78, 813.0)	(80, 1479.0)	(82, 2244.0)	(84, 3105.0)	(86, 3743.0)	(88, 0.0)	(90, 4868.0)
