Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
cell_01_R1	cell_01_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	95.6	100.0	100	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
cell_01_R2	cell_01_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	97.0	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
cell_01_val_R1	cell_01_val_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	49.9 kbp	0.0	91-100	51.0	95.6	99.982	100	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
cell_01_val_R2	cell_01_val_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	49.9 kbp	0.0	95-100	51.0	97.0	99.99	100	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
cell_02_R1	cell_02_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	96.2	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
cell_02_R2	cell_02_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	96.6	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
cell_02_val_R1	cell_02_val_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	49.9 kbp	0.0	95-100	51.0	96.2	99.99	100	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
cell_02_val_R2	cell_02_val_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	49.9 kbp	0.0	95-100	51.0	96.6	99.99	100	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
cell_03_R1	cell_03_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	95.8	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
cell_03_R2	cell_03_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	50 kbp	0.0	100.0	51.0	97.2	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
cell_03_val_R1	cell_03_val_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	500.0	49.9 kbp	0.0	92-100	51.0	95.8	99.964	100	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
