Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	featurecounts-Assigned	featurecounts-percent_assigned	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	bowtie_2_hisat2-overall_alignment_rate
cell_01	0.0	76.8608	0.07685	0.001	51.9233	100.0	99.98599999999999	0.2	100.0	100.0	0.000396	76.44787644787645	0.0005	0.0005	100.0	0.000483	96.6	1.7e-05							
cell_01_R1																			4.400000000000006	51.0	100.0	100	0.0	0.0005	
cell_01_R2																			3.0	51.0	100.0	100	0.0	0.0005	
cell_01_hisat2																									96.9
cell_01_hisat2_sorted											0.000395	79.0													
cell_01_val_R1																			4.400000000000006	51.0	99.982	100	0.0	0.0005	
cell_01_val_R2																			3.0	51.0	99.99	100	0.0	0.0005	
cell_02	0.0	76.9907	0.076983	0.001	51.470099999999995	100.0	99.99	0.2	100.0	100.0	0.000386	74.08829174664108	0.0005	0.0005	100.0	0.000479	95.8	2.1e-05							
cell_02_R1																			3.799999999999997	51.0	100.0	100	0.0	0.0005	
cell_02_R2																			3.4000000000000057	51.0	100.0	100	10.0	0.0005	
cell_02_hisat2																									97.2
cell_02_hisat2_sorted											0.00039799999999999997	79.60000000000001													
cell_02_val_R1																			3.799999999999997	51.0	99.99	100	0.0	0.0005	
cell_02_val_R2																			3.4000000000000057	51.0	99.99	100	10.0	0.0005	
cell_03	0.0	76.8904	0.076862	0.001	51.33	100.0	99.96300000000001	0.6	100.0	100.0	0.000374	72.48062015503875	0.0005	0.0005	100.0	0.000484	96.8	1.6e-05							
cell_03_R1																			4.200000000000003	51.0	100.0	100	0.0	0.0005	
cell_03_R2																			2.799999999999997	51.0	100.0	100	10.0	0.0005	
cell_03_hisat2																									97.8
cell_03_hisat2_sorted											0.000374	74.8													
cell_03_val_R1																			4.200000000000003	51.0	99.964	100	0.0	0.0005	
cell_03_val_R2																			2.799999999999997	51.0	99.962	100	10.0	0.0005	
cell_04	0.0	77.0839	0.07707699999999999	0.001	51.3166	100.0	99.991	0.1	100.0	100.0	0.000381	73.69439071566731	0.0005	0.0005	100.0	0.000483	96.6	1.7e-05							
cell_04_R1																			3.799999999999997	51.0	100.0	100	0.0	0.0005	
cell_04_R2																			4.6000000000000085	51.0	100.0	100	10.0	0.0005	
cell_04_hisat2																									98.0
cell_04_hisat2_sorted											0.000386	77.2													
cell_04_val_R1																			3.799999999999997	51.0	100.0	100	0.0	0.0005	
cell_04_val_R2																			4.6000000000000085	51.0	99.982	100	10.0	0.0005	
cell_05	0.0	77.0209	0.07700699999999999	0.001	51.87929999999999	100.0	99.982	0.2	100.0	100.0	0.00038899999999999997	75.68093385214007	0.0005	0.0005	100.0	0.000486	97.2	1.4e-05							
cell_05_R1																			3.0	52.0	100.0	100	0.0	0.0005	
cell_05_R2																			2.799999999999997	51.0	100.0	100	0.0	0.0005	
cell_05_hisat2																									97.2
cell_05_hisat2_sorted											0.00039999999999999996	80.0													
cell_05_val_R1																			3.0	52.0	99.982	100	0.0	0.0005	
cell_05_val_R2																			2.799999999999997	51.0	99.982	100	0.0	0.0005	
cell_06	0.0	77.1237	0.077099	0.001	51.165400000000005	100.0	99.968	0.4	100.0	100.0	0.00037999999999999997	73.7864077669903	0.0005	0.000499	99.8	0.000483	96.6	1.6e-05							
cell_06_R1																			4.800000000000011	51.0	100.0	100	0.0	0.0005	
cell_06_R2																			4.200000000000003	51.0	100.0	100	0.0	0.0005	
cell_06_hisat2																									95.7
cell_06_hisat2_sorted											0.000397	79.4													
cell_06_val_R1																			4.800000000000011	51.0	99.952	100	0.0	0.0005	
cell_06_val_R2																			4.200000000000003	51.0	99.984	100	0.0	0.0005	
cell_07	0.0	76.9619	0.076945	0.001	51.013200000000005	100.0	99.978	0.3	100.0	100.0	0.000377	72.22222222222221	0.0005	0.0005	100.0	0.000479	95.8	2.1e-05							
cell_07_R1																			2.4000000000000057	50.0	100.0	100	0.0	0.0005	
cell_07_R2																			3.4000000000000057	51.0	100.0	100	0.0	0.0005	
cell_07_hisat2																									95.6
cell_07_hisat2_sorted											0.00039299999999999996	78.60000000000001													
cell_07_val_R1																			2.4000000000000057	50.0	100.0	100	0.0	0.0005	
cell_07_val_R2																			3.4000000000000057	51.0	99.956	100	0.0	0.0005	
cell_08	0.0	76.9838	0.07697999999999999	0.001	51.3486	100.0	99.995	0.1	100.0	100.0	0.000388	74.75915221579962	0.0005	0.0005	100.0	0.000481	96.2	1.8999999999999998e-05							
cell_08_R1																			4.400000000000006	51.0	100.0	100	0.0	0.0005	
cell_08_R2																			3.4000000000000057	51.0	100.0	100	10.0	0.0005	
cell_08_hisat2																									96.4
cell_08_hisat2_sorted											0.000397	79.4													
cell_08_val_R1																			4.400000000000006	51.0	100.0	100	0.0	0.0005	
