sample,fastq_1,fastq_2
HP1502401_A14,data/raw/HP1502401_A14.fastq.gz,
HP1506401_H16,data/raw/HP1506401_H16.fastq.gz,
HP1506401_A6,data/raw/HP1506401_A6.fastq.gz,
AZ_C5,data/raw/AZ_C5.fastq.gz,
HP1502401_I16,data/raw/HP1502401_I16.fastq.gz,
HP1502401_B10,data/raw/HP1502401_B10.fastq.gz,
HP1502401_J20,data/raw/HP1502401_J20.fastq.gz,
HP1506401_G13,data/raw/HP1506401_G13.fastq.gz,
HP1507101_H7,data/raw/HP1507101_H7.fastq.gz,
HP1507101_F19,data/raw/HP1507101_F19.fastq.gz,
HP1507101_G23,data/raw/HP1507101_G23.fastq.gz,
HP1507101_F13,data/raw/HP1507101_F13.fastq.gz,
HP1509101_O13,data/raw/HP1509101_O13.fastq.gz,
HP1504901_G3,data/raw/HP1504901_G3.fastq.gz,
HP1504901_D5,data/raw/HP1504901_D5.fastq.gz,
HP1504901_I8,data/raw/HP1504901_I8.fastq.gz,
HP1502401_G22,data/raw/HP1502401_G22.fastq.gz,
HP1506401_O11,data/raw/HP1506401_O11.fastq.gz,
HP1507101_H4,data/raw/HP1507101_H4.fastq.gz,
HP1504901_L20,data/raw/HP1504901_L20.fastq.gz,
HP1502401_A18,data/raw/HP1502401_A18.fastq.gz,
HP1502401_C12,data/raw/HP1502401_C12.fastq.gz,
HP1506401_J20,data/raw/HP1506401_J20.fastq.gz,
HP1506401_E6,data/raw/HP1506401_E6.fastq.gz,
HP1509101_K15,data/raw/HP1509101_K15.fastq.gz,
HP1502401_B11,data/raw/HP1502401_B11.fastq.gz,
HP1504901_O1,data/raw/HP1504901_O1.fastq.gz,
HP1508501T2D_G18,data/raw/HP1508501T2D_G18.fastq.gz,
HP1525301T2D_F3,data/raw/HP1525301T2D_F3.fastq.gz,
HP1504101T2D_I8,data/raw/HP1504101T2D_I8.fastq.gz,
HP1504101T2D_M7,data/raw/HP1504101T2D_M7.fastq.gz,
HP1504101T2D_E3,data/raw/HP1504101T2D_E3.fastq.gz,
HP1504101T2D_H17,data/raw/HP1504101T2D_H17.fastq.gz,
HP1508501T2D_G15,data/raw/HP1508501T2D_G15.fastq.gz,
HP1508501T2D_K19,data/raw/HP1508501T2D_K19.fastq.gz,
HP1508501T2D_A16,data/raw/HP1508501T2D_A16.fastq.gz,
HP1525301T2D_O18,data/raw/HP1525301T2D_O18.fastq.gz,
HP1525301T2D_A11,data/raw/HP1525301T2D_A11.fastq.gz,
HP1526901T2D_N15,data/raw/HP1526901T2D_N15.fastq.gz,
HP1526901T2D_M7,data/raw/HP1526901T2D_M7.fastq.gz,
HP1526901T2D_M16,data/raw/HP1526901T2D_M16.fastq.gz,
HP1526901T2D_O14,data/raw/HP1526901T2D_O14.fastq.gz,
HP1526901T2D_P11,data/raw/HP1526901T2D_P11.fastq.gz,
HP1526901T2D_J22,data/raw/HP1526901T2D_J22.fastq.gz,
HP1508501T2D_B19,data/raw/HP1508501T2D_B19.fastq.gz,
HP1508501T2D_I21,data/raw/HP1508501T2D_I21.fastq.gz,
HP1525301T2D_C22,data/raw/HP1525301T2D_C22.fastq.gz,
HP1525301T2D_G20,data/raw/HP1525301T2D_G20.fastq.gz,
HP1525301T2D_F16,data/raw/HP1525301T2D_F16.fastq.gz,
HP1526901T2D_G24,data/raw/HP1526901T2D_G24.fastq.gz,
HP1504101T2D_D24,data/raw/HP1504101T2D_D24.fastq.gz,
HP1504101T2D_A13,data/raw/HP1504101T2D_A13.fastq.gz,
HP1526901T2D_H16,data/raw/HP1526901T2D_H16.fastq.gz,
