Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
cell_01_R1	(1, 36.496)	(2, 35.546)	(3, 35.476)	(4, 35.628)	(5, 35.426)	(6, 35.48)	(7, 35.436)	(8, 35.67)	(9, 35.466)	(10, 35.608999999999995)	(12, 35.584999999999994)	(14, 34.513999999999996)	(16, 34.4)	(18, 34.586)	(20, 34.454)	(22, 34.44)	(24, 34.647)	(26, 34.042)	(28, 33.515)	(30, 33.541)	(32, 33.400999999999996)	(34, 33.41)	(36, 33.432)	(38, 32.987)	(40, 32.474999999999994)	(42, 32.494)	(44, 32.482)	(46, 32.540000000000006)	(48, 32.464)	(50, 32.474000000000004)	(52, 31.552)	(54, 31.595)	(56, 31.471)	(58, 31.447)	(60, 31.464)	(62, 31.451)	(64, 30.493000000000002)	(66, 30.548000000000002)	(68, 30.427)	(70, 30.725)	(72, 30.45)	(74, 30.512999999999998)	(76, 29.908)	(78, 29.457)	(80, 29.38)	(82, 29.511)	(84, 29.416)	(86, 29.569)	(88, 29.018)	(90, 28.53)	(92, 28.456)	(94, 28.503999999999998)	(96, 28.560000000000002)	(98, 28.514000000000003)	(100, 28.51)
cell_01_R2	(1, 36.422)	(2, 35.406)	(3, 35.642)	(4, 35.414)	(5, 35.52)	(6, 35.358)	(7, 35.498)	(8, 35.504)	(9, 35.498)	(10, 35.6)	(12, 35.533)	(14, 34.325)	(16, 34.486999999999995)	(18, 34.512)	(20, 34.522999999999996)	(22, 34.57599999999999)	(24, 34.438)	(26, 34.033)	(28, 33.488)	(30, 33.441)	(32, 33.480999999999995)	(34, 33.507999999999996)	(36, 33.373000000000005)	(38, 33.17)	(40, 32.572)	(42, 32.556)	(44, 32.522)	(46, 32.519000000000005)	(48, 32.602000000000004)	(50, 32.536)	(52, 31.542)	(54, 31.46)	(56, 31.403)	(58, 31.308999999999997)	(60, 31.545)	(62, 31.395)	(64, 30.481)	(66, 30.512999999999998)	(68, 30.442)	(70, 30.413)	(72, 30.380000000000003)	(74, 30.387)	(76, 30.086)	(78, 29.532)	(80, 29.564)	(82, 29.453000000000003)	(84, 29.57)	(86, 29.65)	(88, 28.97)	(90, 28.625999999999998)	(92, 28.318)	(94, 28.426000000000002)	(96, 28.524)	(98, 28.586)	(100, 28.628)
cell_01_val_R1	(1, 36.496)	(2, 35.546)	(3, 35.476)	(4, 35.628)	(5, 35.426)	(6, 35.48)	(7, 35.436)	(8, 35.67)	(9, 35.466)	(10, 35.608999999999995)	(12, 35.584999999999994)	(14, 34.513999999999996)	(16, 34.4)	(18, 34.586)	(20, 34.454)	(22, 34.44)	(24, 34.647)	(26, 34.042)	(28, 33.515)	(30, 33.541)	(32, 33.400999999999996)	(34, 33.41)	(36, 33.432)	(38, 32.987)	(40, 32.474999999999994)	(42, 32.494)	(44, 32.482)	(46, 32.540000000000006)	(48, 32.464)	(50, 32.474000000000004)	(52, 31.552)	(54, 31.595)	(56, 31.471)	(58, 31.447)	(60, 31.464)	(62, 31.451)	(64, 30.493000000000002)	(66, 30.548000000000002)	(68, 30.427)	(70, 30.725)	(72, 30.45)	(74, 30.512999999999998)	(76, 29.908)	(78, 29.457)	(80, 29.38)	(82, 29.511)	(84, 29.416)	(86, 29.569)	(88, 29.018)	(90, 28.53)	(92, 28.45190380761523)	(94, 28.504008016032063)	(96, 28.560120240480963)	(98, 28.51503006012024)	(100, 28.50300601202405)
cell_01_val_R2	(1, 36.422)	(2, 35.406)	(3, 35.642)	(4, 35.414)	(5, 35.52)	(6, 35.358)	(7, 35.498)	(8, 35.504)	(9, 35.498)	(10, 35.6)	(12, 35.533)	(14, 34.325)	(16, 34.486999999999995)	(18, 34.512)	(20, 34.522999999999996)	(22, 34.57599999999999)	(24, 34.438)	(26, 34.033)	(28, 33.488)	(30, 33.441)	(32, 33.480999999999995)	(34, 33.507999999999996)	(36, 33.373000000000005)	(38, 33.17)	(40, 32.572)	(42, 32.556)	(44, 32.522)	(46, 32.519000000000005)	(48, 32.602000000000004)	(50, 32.536)	(52, 31.542)	(54, 31.46)	(56, 31.403)	(58, 31.308999999999997)	(60, 31.545)	(62, 31.395)	(64, 30.481)	(66, 30.512999999999998)	(68, 30.442)	(70, 30.413)	(72, 30.380000000000003)	(74, 30.387)	(76, 30.086)	(78, 29.532)	(80, 29.564)	(82, 29.453000000000003)	(84, 29.57)	(86, 29.65)	(88, 28.97)	(90, 28.625999999999998)	(92, 28.318)	(94, 28.426000000000002)	(96, 28.525050100200403)	(98, 28.589178356713425)	(100, 28.62324649298597)
cell_02_R1	(1, 36.432)	(2, 35.418)	(3, 35.518)	(4, 35.64)	(5, 35.6)	(6, 35.526)	(7, 35.49)	(8, 35.384)	(9, 35.59)	(10, 35.462)	(12, 35.506)	(14, 34.604)	(16, 34.573)	(18, 34.492000000000004)	(20, 34.515)	(22, 34.537)	(24, 34.605000000000004)	(26, 34.091)	(28, 33.405)	(30, 33.547)	(32, 33.627)	(34, 33.629)	(36, 33.417)	(38, 33.09)	(40, 32.41)	(42, 32.411)	(44, 32.452)	(46, 32.435)	(48, 32.488)	(50, 32.497)	(52, 31.59)	(54, 31.534)	(56, 31.654000000000003)	(58, 31.500999999999998)	(60, 31.545)	(62, 31.526)	(64, 30.512999999999998)	(66, 30.568)	(68, 30.613)	(70, 30.537999999999997)	(72, 30.496000000000002)	(74, 30.578)	(76, 29.804000000000002)	(78, 29.591)	(80, 29.472)	(82, 29.484)	(84, 29.493000000000002)	(86, 29.468)	(88, 28.95)	(90, 28.546)	(92, 28.44)	(94, 28.463)	(96, 28.41)	(98, 28.455)	(100, 28.564)
cell_02_R2	(1, 36.724)	(2, 35.464)	(3, 35.466)	(4, 35.64)	(5, 35.46)	(6, 35.628)	(7, 35.45)	(8, 35.438)	(9, 35.468)	(10, 35.632999999999996)	(12, 35.436)	(14, 34.391999999999996)	(16, 34.405)	(18, 34.388000000000005)	(20, 34.462)	(22, 34.507999999999996)	(24, 34.59)	(26, 33.900000000000006)	(28, 33.428)	(30, 33.393)	(32, 33.504)	(34, 33.449)	(36, 33.433)	(38, 33.005)	(40, 32.515)	(42, 32.618)	(44, 32.608999999999995)	(46, 32.547)	(48, 32.443)	(50, 32.412000000000006)	(52, 31.621000000000002)	(54, 31.527)	(56, 31.524)	(58, 31.413)	(60, 31.511)	(62, 31.544)	(64, 30.535)	(66, 30.435000000000002)	(68, 30.436)	(70, 30.586)	(72, 30.532)	(74, 30.529)	(76, 29.95)	(78, 29.575000000000003)	(80, 29.645)	(82, 29.517000000000003)	(84, 29.641)	(86, 29.557000000000002)	(88, 28.953)	(90, 28.474)	(92, 28.524)	(94, 28.549)	(96, 28.53)	(98, 28.451)	(100, 28.378)
cell_02_val_R1	(1, 36.432)	(2, 35.418)	(3, 35.518)	(4, 35.64)	(5, 35.6)	(6, 35.526)	(7, 35.49)	(8, 35.384)	(9, 35.59)	(10, 35.462)	(12, 35.506)	(14, 34.604)	(16, 34.573)	(18, 34.492000000000004)	(20, 34.515)	(22, 34.537)	(24, 34.605000000000004)	(26, 34.091)	(28, 33.405)	(30, 33.547)	(32, 33.627)	(34, 33.629)	(36, 33.417)	(38, 33.09)	(40, 32.41)	(42, 32.411)	(44, 32.452)	(46, 32.435)	(48, 32.488)	(50, 32.497)	(52, 31.59)	(54, 31.534)	(56, 31.654000000000003)	(58, 31.500999999999998)	(60, 31.545)	(62, 31.526)	(64, 30.512999999999998)	(66, 30.568)	(68, 30.613)	(70, 30.537999999999997)	(72, 30.496000000000002)	(74, 30.578)	(76, 29.804000000000002)	(78, 29.591)	(80, 29.472)	(82, 29.484)	(84, 29.493000000000002)	(86, 29.468)	(88, 28.95)	(90, 28.546)	(92, 28.44)	(94, 28.463)	(96, 28.414829659318638)	(98, 28.45791583166333)	(100, 28.569138276553105)
cell_02_val_R2	(1, 36.724)	(2, 35.464)	(3, 35.466)	(4, 35.64)	(5, 35.46)	(6, 35.628)	(7, 35.45)	(8, 35.438)	(9, 35.468)	(10, 35.632999999999996)	(12, 35.436)	(14, 34.391999999999996)	(16, 34.405)	(18, 34.388000000000005)	(20, 34.462)	(22, 34.507999999999996)	(24, 34.59)	(26, 33.900000000000006)	(28, 33.428)	(30, 33.393)	(32, 33.504)	(34, 33.449)	(36, 33.433)	(38, 33.005)	(40, 32.515)	(42, 32.618)	(44, 32.608999999999995)	(46, 32.547)	(48, 32.443)	(50, 32.412000000000006)	(52, 31.621000000000002)	(54, 31.527)	(56, 31.524)	(58, 31.413)	(60, 31.511)	(62, 31.544)	(64, 30.535)	(66, 30.435000000000002)	(68, 30.436)	(70, 30.586)	(72, 30.532)	(74, 30.529)	(76, 29.95)	(78, 29.575000000000003)	(80, 29.645)	(82, 29.517000000000003)	(84, 29.641)	(86, 29.557000000000002)	(88, 28.953)	(90, 28.474)	(92, 28.524)	(94, 28.549)	(96, 28.53006012024048)	(98, 28.456913827655313)	(100, 28.384769539078157)
cell_03_R1	(1, 36.474)	(2, 35.598)	(3, 35.504)	(4, 35.558)	(5, 35.59)	(6, 35.406)	(7, 35.358)	(8, 35.57)	(9, 35.398)	(10, 35.55)	(12, 35.629000000000005)	(14, 34.412)	(16, 34.510000000000005)	(18, 34.534)	(20, 34.536)	(22, 34.57899999999999)	(24, 34.370000000000005)	(26, 34.021)	(28, 33.462999999999994)	(30, 33.39)	(32, 33.516999999999996)	(34, 33.598)	(36, 33.426)	(38, 33.055)	(40, 32.495000000000005)	(42, 32.492000000000004)	(44, 32.515)	(46, 32.44)	(48, 32.538)	(50, 32.489999999999995)	(52, 31.423000000000002)	(54, 31.733)	(56, 31.5)	(58, 31.525)	(60, 31.497999999999998)	(62, 31.547)	(64, 30.551000000000002)	(66, 30.426000000000002)	(68, 30.506)	(70, 30.499)	(72, 30.529)	(74, 30.375)	(76, 30.064)	(78, 29.391)	(80, 29.498)	(82, 29.402)	(84, 29.614)	(86, 29.467)	(88, 29.055999999999997)	(90, 28.54)	(92, 28.544)	(94, 28.536)	(96, 28.676000000000002)	(98, 28.417)	(100, 28.43)
cell_03_R2	(1, 36.528)	(2, 35.498)	(3, 35.554)	(4, 35.5)	(5, 35.518)	(6, 35.454)	(7, 35.532)	(8, 35.46)	(9, 35.516)	(10, 35.519999999999996)	(12, 35.637)	(14, 34.519)	(16, 34.54)	(18, 34.413)	(20, 34.318)	(22, 34.548)	(24, 34.572)	(26, 34.024)	(28, 33.541)	(30, 33.557)	(32, 33.342)	(34, 33.349)	(36, 33.555)	(38, 33.037)	(40, 32.378)	(42, 32.254)	(44, 32.588)	(46, 32.571)	(48, 32.31)	(50, 32.339)	(52, 31.542)	(54, 31.471)	(56, 31.381)	(58, 31.557000000000002)	(60, 31.491999999999997)	(62, 31.466)	(64, 30.476)	(66, 30.442999999999998)	(68, 30.467)	(70, 30.566000000000003)	(72, 30.473)	(74, 30.428)	(76, 30.073999999999998)	(78, 29.439)	(80, 29.545)	(82, 29.502000000000002)	(84, 29.34)	(86, 29.573)	(88, 28.973)	(90, 28.456)	(92, 28.472)	(94, 28.424)	(96, 28.5)	(98, 28.468)	(100, 28.588)
