# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/home/surj/Workspace/single_cell_pipeline/data/reference/mini_genes.gtf" "-o" "/home/surj/Workspace/single_cell_pipeline/data/counts/featureCounts_raw.txt" "-T" "4" "-t" "exon" "-g" "gene_id" "-s" "0" "-p" "--countReadPairs" "-Q" "10" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_01_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_02_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_03_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_04_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_05_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_06_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_07_Aligned.sortedByCoord.out.bam" "/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_08_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_01_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_02_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_03_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_04_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_05_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_06_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_07_Aligned.sortedByCoord.out.bam	/home/surj/Workspace/single_cell_pipeline/data/aligned/cell_08_Aligned.sortedByCoord.out.bam
GENE_001_GAPDH_like	chr1;chr1;chr1;chr1	1000;1340;1653;2127	1177;1495;1991;2346	+;+;+;+	893	108	112	83	114	131	127	86	124
GENE_002_ACTB_like	chr1;chr1;chr1	2916;3242;3607	3106;3442;3910	-;-;-	696	47	80	58	47	22	9	30	14
GENE_003_TP53_like	chr1;chr1;chr1	4476;4927;5413	4714;5197;5586	+;+;+	684	15	10	4	10	61	30	49	50
GENE_004_CD4_like	chr1;chr1;chr1	5943;6371;6712	6204;6531;6877	-;-;-	589	19	16	5	17	19	13	19	22
GENE_005_CD8A_like	chr1;chr1;chr1	7193;7477;7987	7362;7818;8173	+;+;+	699	23	28	30	21	37	46	59	36
GENE_006_MS4A1_like	chr1;chr1;chr1;chr1	8547;9005;9338;9796	8807;9157;9560;10059	-;-;-;-	901	66	37	58	51	15	22	15	12
GENE_007_GNLY_like	chr1;chr1	10433;10883	10765;11164	+;+	615	34	31	25	7	18	30	28	26
GENE_008_NKG7_like	chr1;chr1;chr1	11758;12275;12646	12057;12475;12923	-;-;-	779	22	13	3	14	15	25	18	5
GENE_009_IL7R_like	chr1;chr1;chr1;chr1	13245;13618;13959;14426	13432;13812;14217;14710	+;+;+;+	927	14	28	49	32	32	12	31	28
GENE_010_MT-ND1_like	chr1;chr1;chr1	15051;15555;16060	15307;15833;16246	-;-;-	723	33	27	37	43	20	31	25	41
GENE_011_MT-CO1_like	chr1;chr1;chr1;chr1	16788;17258;17672;18188	17089;17513;18020;18522	+;+;+;+	1242	15	4	22	25	19	35	17	30
GENE_012_MALAT1_like	chr1;chr1;chr1	18951;19334;19694	19130;19591;19934	-;-;-	679	0	0	0	0	0	0	0	0
GENE_013_SOX2_like	chr1;chr1;chr1	20404;20739;21184	20584;20934;21480	+;+;+	674	0	0	0	0	0	0	0	0
GENE_014_OCT4_like	chr1;chr1;chr1	21979;22326;22720	22178;22613;23065	-;-;-	834	0	0	0	0	0	0	0	0
GENE_015_NANOG_like	chr1;chr1;chr1;chr1	23493;23876;24426;24778	23774;24188;24674;24942	+;+;+;+	1009	0	0	0	0	0	0	0	0
